* Required Fields,* Campo Obbligatorio
Add a gift message to my order,Add a gift message to my order
"After extracting the file, you will receive GeoLite2-City.mmdb file.","After extracting the file, you will receive GeoLite2-City.mmdb file."
"After that, please generate the public key and the private key. Finally, copy them and fill them to Magento authentication.","After that, please generate the public key and the private key. Finally, copy them and fill them to Magento authentication."
Apply,Applica
Apply Discount,Applica codice sconto
Cancel,Annulla
Choose...,Scegli...
City,Città
Company,Company
Configure positions of fields in Billing and Shipping Address section. You can display fields into 2 columns (eg: First name + Last name) or 1 full column (eg: Address + Null),Configure positions of fields in Billing and Shipping Address section. You can display fields into 2 columns (eg: First name + Last name) or 1 full column (eg: Address + Null)
Confirm Password,Conferma Password
Continue to PayPal,Continue to PayPal
Country,Country
Create a new account,Crea un nuovo account
Date to delivery:,Date to delivery:
Do you want to remove the item from cart?,Sei sicuro di voler togliere questo articolo dal carrello?
Edit,Modifica
Email Address,Indirizzo Email
Email address,Indirizzo email
Enter coupon code here,Se hai un buono sconto inserisci qui il codice
Field name already exists!,Field name already exists!
First Name,Nome
Forgot Your Password?,Hai dimenticato la password?
Forgot your password?,Hai dimenticato la password?
From:,From:
Gift wrap,Gift wrap
"If your Magento need the authentication, please log in to your Magento connect and go to ","If your Magento need the authentication, please log in to your Magento connect and go to "
Last Name,Cognome
Leave your comment,Note di spedizione
Login,Login
Message:,Message:
My billing and shipping address are the same,Indirizzo di fatturazione uguale a quello di spedizione
New Address,Nuovo Indirizzo
No Password,No Password
Order Review,Riassunto Ordine
Password,Password
Password Strength,Password Strength
Payment,Pagamento
Phone Number,Telefono
Please choose a payment method,Seleziona un metodo di pagamento
Place Order,Conferma Ordine
Place order now,Conferma Ordine
Please enter the following information to create a new account.,Please enter the following information to create a new account.
Please enter your email below and we will send you a new password.,Inserisci il tuo indirizzo email qui sotto per ricevere un link di reimpostazione della password.
"Please log in to your SSH. Use cd command to your Magento root folder. After that, enter the command:","Please log in to your SSH. Use cd command to your Magento root folder. After that, enter the command:"
"Please wait, processing your order...","Ordine in elaborazione, si prega di attendere..."
Product,Product
Qty,Qty
Register,Registrati
Remove,Rimuovi
Return to login,Ritorna al login
Save in address book,Save in address book
Security access code (Buildings/gated communities),Security access code (Buildings/gated communities)
Send password,Recupera password
Shipping Methods,Shipping Methods
Sign Up for Our Newsletter,Sign Up for Our Newsletter
State/Province,State/Province
Step 1: Install GeoIP Library,Step 1: Install GeoIP Library
Step 2: Download GeoIP Data file,Step 2: Download GeoIP Data file
Street Address,Street Address
Subtotal,Subtotal
Then please log in to your FTP and upload this file to ,Then please log in to your FTP and upload this file to 
this guide,this guide
this link.,this link.
Time to delivery:,Time to delivery:
To:,To:
Update,Update
We have already sent a new password to your email address.,We have already sent a new password to your email address.
You already have an account with us. Sign in or continue as guest.,You already have an account with us. Sign in or continue as guest.
You can create an account after checkout.,You can create an account after checkout.
"Your Geo Ip is not installed! If you want to use Geo IP feature, please follow","Your Geo Ip is not installed! If you want to use Geo IP feature, please follow"
Zip/Postal Code,Zip/Postal Code
